#Iterations,Loss
1,2.3375
2,2.2894
3,2.1932
4,2.2105
5,2.1417
6,2.0848
7,2.1044
8,1.9774
9,1.9313
10,1.8682
11,1.8274
12,1.7590
13,1.6055
14,1.4748
15,1.5083
16,1.3053
17,1.3916
18,1.2283
19,1.1235
20,1.2691
21,1.3688
22,1.2047
23,1.1759
24,1.0204
25,1.0401
26,1.1060
27,0.9857
28,0.9689
29,0.8543
30,0.7113
31,0.8205
32,0.8595
33,0.7977
34,0.8277
35,0.8891
36,0.7020
37,0.7143
38,0.8336
39,0.6927
40,0.7730
41,0.6733
42,0.5521
43,0.6440
44,0.8218
45,0.8318
46,0.6650
47,0.6691
48,0.6983
49,0.5315
50,0.5343
51,0.6279
52,0.5233
53,0.7741
54,0.5738
55,0.5838
56,0.7828
57,0.8427
58,0.5493
59,0.4779
60,0.5040
61,0.5221
62,0.5759
63,0.4960
64,0.4805
65,0.5093
66,0.3960
67,0.3785
68,0.5474
69,0.5891
70,0.6629
71,0.5433
72,0.6289
73,0.5988
74,0.4324
75,0.5307
76,0.4871
77,0.4749
78,0.4458
79,0.3933
80,0.3130
81,0.2828
82,0.4762
83,0.5094
84,0.7241
85,0.4762
86,0.3137
87,0.4991
88,0.5665
89,0.5352
90,0.5813
91,0.3591
92,0.5952
93,0.4572
94,0.6848
95,0.3757
96,0.2882
97,0.5034
98,0.5988
99,0.7943
100,0.3282
101,0.3539
102,0.4569
103,0.4651
104,0.5448
105,0.7728
106,0.4742
107,0.4202
108,0.3546
109,0.4465
110,0.3195
111,0.4986
112,0.4131
113,0.3919
114,0.4666
115,0.4469
116,0.6511
117,0.3211
118,0.3697
119,0.4253
120,0.4432
121,0.4445
122,0.3251
123,0.3478
124,0.2222
125,0.3223
126,0.2924
127,0.2920
128,0.4869
129,0.5828
130,0.4870
131,0.4172
132,0.5192
133,0.5086
134,0.4856
135,0.4818
136,0.5613
137,0.6466
138,0.1960
139,0.4451
140,0.4196
141,0.6145
142,0.5802
143,0.7451
144,0.4244
145,0.2784
146,0.4577
147,0.4258
148,0.2063
149,0.3029
150,0.3131
151,0.4739
152,0.6158
153,0.4572
154,0.4740
155,0.2294
156,0.3644
157,0.2804
158,0.4759
159,0.4186
160,0.5399
161,0.4032
162,0.3997
163,0.4731
164,0.4519
165,0.5606
166,0.4865
167,0.2406
168,0.3914
169,0.3611
170,0.4433
171,0.4659
172,0.3265
173,0.3519
174,0.3001
175,0.2855
176,0.3655
177,0.4484
178,0.4120
179,0.2960
180,0.6078
181,0.3954
182,0.4507
183,0.3631
184,0.3777
185,0.4961
186,0.4013
187,0.5136
188,0.2951
189,0.2564
190,0.6591
191,0.2876
192,0.4239
193,0.3611
194,0.2975
195,0.5663
196,0.3158
197,0.2262
198,0.3825
199,0.3457
200,0.5785
201,0.2932
202,0.2999
203,0.2697
204,0.3883
205,0.4525
206,0.2568
207,0.4748
208,0.6115
209,0.2781
210,0.3161
211,0.3838
212,0.2767
213,0.1965
214,0.3297
215,0.2587
216,0.2868
217,0.3981
218,0.2383
219,0.2978
220,0.2256
221,0.4138
222,0.4404
223,0.2761
224,0.2848
225,0.1730
226,0.2680
227,0.6363
228,0.5544
229,0.4137
230,0.5232
231,0.2259
232,0.1714
233,0.2531
234,0.4133
235,0.2536
236,0.3742
237,0.3195
238,0.2035
239,0.4268
240,0.2394
241,0.4259
242,0.2463
243,0.1206
244,0.2126
245,0.2594
246,0.5383
247,0.4103
248,0.4264
249,0.3986
250,0.3052
251,0.2522
252,0.4214
253,0.3401
254,0.4836
255,0.3082
256,0.3119
257,0.6228
258,0.3906
259,0.4919
260,0.2560
261,0.2755
262,0.2848
263,0.2148
264,0.2527
265,0.2850
266,0.1481
267,0.1363
268,0.3868
269,0.3332
270,0.2874
271,0.2738
272,0.4180
273,0.3421
274,0.4375
275,0.1997
276,0.2086
277,0.1748
278,0.2939
279,0.6321
280,0.6218
281,0.2641
282,0.3110
